Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Screen_pixels,PPI,TotalStorageGB,CPU_series
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1339.69,Standard,2560,1600,0,1,1,Intel,2.3,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640,3018.8739622581134,226.98300468106115,128,Core i5
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,898.94,Standard,1440,900,0,0,0,Intel,1.8,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,1698.1166037701887,127.67794013309688,128,Core i5
HP,250 G6,Notebook,15.6,8,No OS,1.86,575.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,141.21199808219862,256,Core i5
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2537.45,Standard,2880,1800,0,1,1,Intel,2.7,Core i7,512,0,SSD,No,AMD,Radeon Pro 455,3396.2332075403774,220.53462386625827,512,Core i7
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1803.6,Standard,2560,1600,0,1,1,Intel,3.1,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650,3018.8739622581134,226.98300468106115,256,Core i5
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,400.0,Standard,1366,768,0,0,0,AMD,3.0,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5,1567.0928498337296,100.45466986113651,500,A9
Apple,MacBook Pro,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,Standard,2880,1800,0,1,1,Intel,2.2,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics,3396.2332075403774,220.53462386625827,256,Core i7
Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,1158.7,Standard,1440,900,0,0,0,Intel,1.8,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,1698.1166037701887,127.67794013309688,256,Core i5
Asus,ZenBook UX430UN,Ultrabook,14.0,16,Windows 10,1.3,1495.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150,2202.9071700822983,157.3505121487356,512,Core i7
Acer,Swift 3,Ultrabook,14.0,8,Windows 10,1.6,770.0,Full HD,1920,1080,0,1,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,157.3505121487356,256,Core i5
HP,250 G6,Notebook,15.6,4,No OS,1.86,393.9,Standard,1366,768,0,0,0,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620,1567.0928498337296,100.45466986113651,500,Core i5
HP,250 G6,Notebook,15.6,4,No OS,1.86,344.99,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,2202.9071700822983,141.21199808219862,500,Core i3
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2439.97,Standard,2880,1800,0,1,1,Intel,2.8,Core i7,256,0,SSD,No,AMD,Radeon Pro 555,3396.2332075403774,220.53462386625827,256,Core i7
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,498.9,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,2202.9071700822983,141.21199808219862,256,Core i3
Apple,"MacBook 12""",Ultrabook,12.0,8,macOS,0.92,1262.4,Standard,2304,1440,0,1,1,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615,2716.986566032302,226.41554716935852,256,m3
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1518.55,Standard,2560,1600,0,1,1,Intel,2.3,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 640,3018.8739622581134,226.98300468106115,256,Core i5
Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.2,745.0,Full HD,1920,1080,0,0,0,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R5 M430,2202.9071700822983,141.21199808219862,256,Core i7
Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2858.0,Standard,2880,1800,0,1,1,Intel,2.9,Core i7,512,0,SSD,No,AMD,Radeon Pro 560,3396.2332075403774,220.53462386625827,512,Core i7
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,499.0,Full HD,1920,1080,0,0,0,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX,2202.9071700822983,141.21199808219862,1024,Core i3
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.22,979.0,Full HD,1920,1080,1,1,0,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,165.6321180513006,128,Core i5
Asus,Vivobook E200HA,Netbook,11.6,2,Windows 10,0.98,191.9,Standard,1366,768,0,0,0,Intel,1.44,Atom x5-Z8350,32,0,Flash Storage,No,Intel,HD Graphics 400,1567.0928498337296,135.0942111925629,32,x5
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,999.0,Full HD,1920,1080,0,1,0,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,2202.9071700822983,141.21199808219862,1152,Core i5
HP,255 G6,Notebook,15.6,4,No OS,1.86,258.0,Standard,1366,768,0,0,0,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,1567.0928498337296,100.45466986113651,500,E2
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,Full HD,1920,1080,1,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,165.6321180513006,256,Core i5
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,Windows 10,1.91,659.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,141.21199808219862,256,Core i7
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,418.64,Standard,1366,768,0,0,0,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,1567.0928498337296,100.45466986113651,1024,Core i3
Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,Standard,1440,900,0,0,0,Intel,1.6,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,1698.1166037701887,127.67794013309688,128,Core i5
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,800.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,2202.9071700822983,141.21199808219862,256,Core i5
Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1298.0,Full HD,1920,1080,0,0,0,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,2202.9071700822983,141.21199808219862,512,Core i7
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,896.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,2202.9071700822983,127.33567457123111,1024,Core i5
Chuwi,"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,244.99,Full HD,1920,1080,0,0,0,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,2202.9071700822983,141.21199808219862,64,x5
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,Windows 10,1.65,199.0,Standard,1366,768,0,0,0,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,1567.0928498337296,111.93520355955211,32,E2
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,Windows 10,2.71,439.0,Full HD,1920,1080,0,0,0,AMD,2.5,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530,2202.9071700822983,127.33567457123111,500,A6
Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,1869.0,Quad HD+,3200,1800,1,0,0,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,3671.5119501371637,276.053530085501,512,Core i7
Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,998.0,Standard,1440,900,0,0,0,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,1698.1166037701887,127.67794013309688,256,Core i5
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,Windows 10,1.44,249.0,Standard,1366,768,0,0,0,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,1567.0928498337296,111.93520355955211,64,N3350
Acer,Aspire 3,Notebook,15.6,4,Linux,2.1,367.0,Standard,1366,768,0,0,0,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620,1567.0928498337296,100.45466986113651,1024,Core i3
Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,979.0,Full HD,1920,1080,0,1,0,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,2202.9071700822983,127.33567457123111,1152,Core i5
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,488.69,Standard,1366,768,0,0,0,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,1567.0928498337296,100.45466986113651,1024,Core i5
HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,879.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 930MX ,2202.9071700822983,141.21199808219862,256,Core i5
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,Linux,2.0,389.0,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 620,2202.9071700822983,141.21199808219862,1024,Core i3
Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1499.0,Full HD,1920,1080,0,1,0,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1060,2202.9071700822983,141.21199808219862,1280,Core i7
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,522.99,Standard,1366,768,0,0,0,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 940MX,1567.0928498337296,100.45466986113651,1024,Core i5
Acer,Aspire A515-51G,Notebook,15.6,4,Windows 10,2.2,682.0,Full HD,1920,1080,0,1,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,141.21199808219862,256,Core i5
Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,Full HD,1920,1080,1,0,0,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 150MX,2202.9071700822983,127.33567457123111,1024,Core i5
Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1419.0,Standard,2560,1600,0,1,1,Intel,2.0,Core i5,256,0,SSD,No,Intel,Iris Graphics 540,3018.8739622581134,226.98300468106115,256,Core i5
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,369.0,Standard,1366,768,0,0,0,Intel,2.0,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,1567.0928498337296,100.45466986113651,128,Core i3
Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,1299.0,Full HD,1920,1080,0,0,0,AMD,3.0,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,2202.9071700822983,127.33567457123111,1280,Ryzen 1700
Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,639.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,2202.9071700822983,141.21199808219862,256,Core i5
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2.8,466.0,Standard,1366,768,0,0,0,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Nvidia,GeForce 920MX,1567.0928498337296,90.58340172449303,1024,N4200
Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,Android,0.69,319.0,Standard,1920,1200,1,1,0,Intel,1.44,Atom x5-Z8550,64,0,Flash Storage,No,Intel,HD Graphics 400,2264.155471693585,224.17380907857276,64,x5
Acer,Aspire A515-51G,Notebook,15.6,8,Windows 10,2.2,841.0,Full HD,1920,1080,0,1,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce MX150,2202.9071700822983,141.21199808219862,256,Core i7
